region,resortName,state,city,latlon
Rocky Mountains,Kelly Canyon,Idaho,Ririe,"43.64618767755814, -111.62993874597692"
Rocky Mountains,Little Ski Hill,Idaho,McCall,"44.93032905775049, -116.16245694409399"
Rocky Mountains,Lookout Pass,Idaho,Mullan,"47.4562053380033, -115.69726263053664"
Rocky Mountains,Lost Trail Powder Mountain,Idaho,North Fork,"45.69243724589031, -113.95203571523894"
Rocky Mountains,Magic Mountain,Idaho,Hansen,"42.18964545924323, -114.28528411532494"
Rocky Mountains,Pebble Creek,Idaho,Inkom,"42.77873819918097, -112.1591939711314"
Rocky Mountains,Pomerelle,Idaho,Albion,"42.318209205976416, -113.60773084415774"
Rocky Mountains,Rotarun,Idaho,Hailey,"43.49753433413804, -114.36503824412942"
Rocky Mountains,Schweitzer Mountain,Idaho,Sandpoint,"48.36811823181619, -116.6227655593482"
Rocky Mountains,Silver Mountain,Idaho,Kellogg,"47.54083386182588, -116.1331173575192"
Rocky Mountains,Snowhaven,Idaho,Grangeville,"45.86766774644294, -116.08924654407028"
Rocky Mountains,Soldier Mountain,Idaho,Fairfield,"43.48566766472533, -114.82938000180147"
Rocky Mountains,Sun Valley,Idaho,Ketchum,"43.69590391772937, -114.35500914223694"
Rocky Mountains,Tamarack,Idaho,Donnelly,"44.669976831127265, -116.12428369507985"
Rocky Mountains,Bear Paw Ski Bowl,Montana,Havre,"48.16515636703381, -109.67014480168183"
Rocky Mountains,Big Sky,Montana,Big Sky,"45.29986719513705, -111.40184835569949"
Rocky Mountains,Blacktail Mountain,Montana,Lakeside,"48.014994371382066, -114.36957753052188"
Rocky Mountains,Bridger Bowl,Montana,Bozeman,"45.817505727701686, -110.89661840174328"
Rocky Mountains,Discovery,Montana,Anaconda,"46.249788958399776, -113.23847591707573"
Rocky Mountains,Great Divide,Montana,Marysville,"46.75323469642471, -112.31349945939095"
Rocky Mountains,Lost Trail Powder Mountain,Montana,Conner,"45.69245972847505, -113.95208935941834"
Rocky Mountains,Maverick Mountain,Montana,Dillon,"45.43411875530043, -113.1286131882607"
Rocky Mountains,Montana Snowbowl,Montana,Missoula,"47.01457496532529, -113.99955727287649"
Rocky Mountains,Moonlight Basin,Montana,Big Sky,"45.295174829738, -111.42160027292061"
Rocky Mountains,Red Lodge Mountain,Montana,Red Lodge,"45.19104247352501, -109.33644908826683"
Rocky Mountains,Showdown,Montana,Neihart,"46.83852154032593, -110.70044088637339"
Rocky Mountains,Teton Pass,Montana,Choteau,"47.930013863932764, -112.81102920353938"
Rocky Mountains,Turner Mountain,Montana,Libby,"48.60507688409652, -115.63082755934184"
Rocky Mountains,Whitefish Mountain Resort,Montana,Whitefish,"48.48071204011616, -114.35026707283771"
Rocky Mountains,Yellowstone Club,Montana,Big Sky (private),"45.245992424199244, -111.37456458826544"
Rocky Mountains,Angel Fire Resort,New Mexico,Angel Fire,"36.38758689470336, -105.27204785664219"
Rocky Mountains,Pajarito Mountain,New Mexico,Los Alamos,"35.895179515649104, -106.39088261546239"
Rocky Mountains,Red River Ski Area,New Mexico,Red River,"36.7064267095846, -105.41291958846122"
Rocky Mountains,Sandia Peak,New Mexico,Albuquerque,"35.20905187199964, -106.41292490773857"
Rocky Mountains,Sipapu,New Mexico,Vadito,"36.15437969883405, -105.5482388866213"
Rocky Mountains,Ski Apache,New Mexico,Ruidoso,"33.39751608223284, -105.78870527318227"
Rocky Mountains,Ski Cloudcroft,New Mexico,Cloudcroft,"32.952745647789015, -105.709018288534"
Rocky Mountains,Ski Santa Fe,New Mexico,Santa Fe,"35.79639321494349, -105.80239045964372"
Rocky Mountains,Taos Ski Valley,New Mexico,Taos,"36.59743733837588, -105.44967283015359"
Rocky Mountains,Mount Aggie Ski Slope,Texas,College Station,"30.601650239295864, -96.34977705973935"
Rocky Mountains,Alta,Utah,Alta (ski only),"40.58861731925453, -111.63858070186969"
Rocky Mountains,Beaver Mountain,Utah,Logan Canyon,"41.96861721577243, -111.54443431328502"
Rocky Mountains,Brian Head,Utah,Brian Head,"37.70231938861997, -112.84995391727637"
Rocky Mountains,Brighton,Utah,Big Cottonwood Canyon,"40.59838410945486, -111.58319284282311"
Rocky Mountains,Cherry Peak Resort,Utah,Richmond,"41.92650782503417, -111.75640580183868"
Rocky Mountains,Deer Valley,Utah,Park City (ski only),"40.63755095147229, -111.4783274595402"
Rocky Mountains,Eagle Point Ski Resort,Utah,Beaver,"38.320543331153345, -112.38387765959138"
Rocky Mountains,Nordic Valley,Utah,Eden,"41.31051655726822, -111.86484850185307"
Rocky Mountains,Park City Mountain Resort,Utah,Park City,"40.653755293189285, -111.50955073373208"
Rocky Mountains,Powder Mountain,Utah,Eden,"41.37994174775305, -111.78019592340156"
Rocky Mountains,Snowbasin,Utah,Huntsville,"41.21325108120479, -111.85333347301953"
Rocky Mountains,Snowbird,Utah,Snowbird,"40.581599711175265, -111.65631945992962"
Rocky Mountains,Solitude,Utah,Big Cottonwood Canyon,"40.62001485269844, -111.59191718837644"
Rocky Mountains,Sundance,Utah,Provo,"40.392256444946135, -111.57875516358368"
Rocky Mountains,Big Horn (Meadowlark),Wyoming,Ten Sleep,"44.17417314412639, -107.21371618829218"
Rocky Mountains,Grand Targhee,Wyoming,via Driggs,"43.79168925439546, -110.9587874705218"
Rocky Mountains,Hogadon,Wyoming,Casper,"42.74542850144918, -106.33897404414756"
Rocky Mountains,Jackson Hole,Wyoming,Teton Village,"43.59828801471585, -110.84759647219776"
Rocky Mountains,Pine Creek,Wyoming,Cokeville,"42.10318308215586, -110.8287596018346"
Rocky Mountains,Sleeping Giant Ski Resort,Wyoming,Cody,"44.49313787043031, -109.93947558828435"
Rocky Mountains,Snow King Mountain,Wyoming,Jackson,"43.47301111288248, -110.75606748830944"
Rocky Mountains,Snowy Range,Wyoming,Centennial,"41.34136677078399, -106.18344170000124"
Rocky Mountains,White Pine,Wyoming,Pinedale,"42.97799066822722, -109.75871334599319"
Rocky Mountains,Beartooth Basin,Wyoming,Cody,"44.989197128932155, -109.43696394899811"
Rocky Mountains,Antalope Butte,Wyoming,Shell,"44.612628480589066, -107.5145999035046"
West Coast,Arctic Valley,Alaska,Anchorage,"61.246861628729334, -149.53474906875422"
West Coast,Alyeska,Alaska,Girdwood,"60.97052578896564, -149.09843629945024"
West Coast,Eaglecrest,Alaska,Juneau,"58.26763541006676, -134.51397844371593"
West Coast,Hilltop,Alaska,Anchorage,"61.140965084385826, -149.74493944362405"
West Coast,Majestic Heli Ski,Alaska,Glacier View,"61.81926671811624, -147.45866200127367"
West Coast,Moose Mountain,Alaska,Fairbanks,"64.94141572784287, -147.99167253473132"
West Coast,Mount Eyak,Alaska,Cordova,"60.55010668154163, -145.75001465898671"
West Coast,Skiland,Alaska,Fairbanks,"65.04549946075447, -147.4101356453455"
West Coast,Alpine Meadows,California,Alpine Meadows,"39.16673818105613, -120.23869010841588"
West Coast,Alta Sierra,California,Wofford Heights,"35.71134659830913, -118.56027247498899"
West Coast,Badger Pass,California,Yosemite National Park,"37.66242055770004, -119.66348351912838"
West Coast,Bear Mountain,California,Big Bear Lake,"34.22911371690905, -116.86084113187107"
West Coast,Bear Valley,California,Angels Camp,"38.49280661543023, -120.04420172890082"
West Coast,Boreal Mountain,California,Soda Springs,"39.336710921417954, -120.34980673073355"
West Coast,Buckhorn Ski Club,California,Three Points (private),"34.342085011962276, -117.9196553578211"
West Coast,China Peak,California,Lakeshore,"37.236640580674454, -119.1573278865991"
West Coast,Dodge Ridge,California,Sonora,"38.18999672716841, -119.95587463075836"
West Coast,Donner Ski Ranch,California,Norden,"39.31784808545549, -120.33035075956982"
West Coast,Granlibakken,California,Tahoe City,"39.15415683209616, -120.1547878997833"
West Coast,Heavenly Mountain,California,South Lake Tahoe,"38.93578766770377, -119.93972411256449"
West Coast,Homewood Mountain,California,Homewood,"39.08571652384862, -120.16054983073911"
West Coast,June Mountain,California,June Lake,"37.7681373886659, -119.0905863865881"
West Coast,Kirkwood Mountain,California,Kirkwood,"38.68491887730613, -120.06517723074771"
West Coast,Mammoth Mountain,California,Mammoth Lakes,"37.651960114071905, -119.02685323665459"
West Coast,Mount Baldy Ski Lifts,California,Mount Baldy,"34.270331034588985, -117.62191040200175"
West Coast,Mount Shasta Ski Park,California,Mount Shasta,"41.32133159113954, -122.20353418836058"
West Coast,Mount Waterman,California,Three Points,"34.34953718474908, -117.92881105967203"
West Coast,Mountain High,California,Wrightwood,"34.377172008800834, -117.69144910014853"
West Coast,Northstar California,California,Truckee,"39.27475880391958, -120.12112558840658"
West Coast,Sierra-at-Tahoe,California,Twin Bridges,"38.80038532257699, -120.08036138656583"
West Coast,Snow Summit,California,Big Bear Lake,"34.236594345690065, -116.88918587131543"
West Coast,Snow Valley,California,Running Springs,"34.22511272603921, -117.03615554433075"
West Coast,Soda Springs,California,Soda Springs,"39.32145046710843, -120.38021212611652"
West Coast,Squaw Valley,California,Olympic Valley,"39.20021431848183, -120.23718191472324"
West Coast,Sugar Bowl,California,Norden,"39.30394242120659, -120.33433643364346"
West Coast,Tahoe Donner Downhill,California,Truckee,"39.35428567085081, -120.25942703073311"
West Coast,Diamond Peak,Nevada,Incline Village,"39.25512836396853, -119.92399956327576"
West Coast,Las Vegas Ski and Snowboard Resort (Lee Canyon),Nevada,Las Vegas,"36.303883351345306, -115.67969707497707"
West Coast,Mount Rose,Nevada,Reno,"39.32862585696474, -119.8853750018978"
West Coast,Sky Tavern Ski Area,Nevada,Reno,"39.337076939814175, -119.87250054422584"
West Coast,Elko Snobowl Ski and Bike Park,Nevada,Elko,"40.91006398366915, -115.852797107156"
West Coast,Anthony Lakes,Oregon,North Powder,"44.99954835520765, -118.0542559305999"
West Coast,Cooper Spur,Oregon,Parkdale,"45.425802071696204, -121.59058565773852"
West Coast,Ferguson Ridge,Oregon,Joseph,"45.28235285430615, -117.11261631710039"
West Coast,Hoodoo,Oregon,Sisters,"44.403874293115706, -121.87096401712246"
West Coast,Mount Ashland,Oregon,Ashland,"42.081796458813976, -122.70475400183498"
West Coast,Mount Bachelor,Oregon,Bend,"43.980532644870976, -121.6887941809275"
West Coast,Mount Hood Meadows,Oregon,Government Camp,"45.33435933945589, -121.66515771574437"
West Coast,Mount Hood Skibowl,Oregon,Government Camp,"45.30439426477286, -121.77210270288523"
West Coast,Spout Springs,Oregon,Tollgate,"45.75541465169294, -118.05137808640121"
West Coast,Summit Ski Area,Oregon,Government Camp,"45.30307189568874, -121.74580684408454"
West Coast,Timberline Lodge,Oregon,Government Camp,"45.33131664034, -121.71099567291978"
West Coast,Warner Canyon,Oregon,Lakeview,"42.23762022003375, -120.29468131717489"
West Coast,Willamette Pass,Oregon,Odell Lake,"43.60083805928889, -122.03642135761916"
West Coast,49 Degrees North,Washington,Chewelah,"48.30125419286336, -117.56291610167827"
West Coast,Badger Mountain,Washington,Waterville,"47.613169059391346, -120.13062593053253"
West Coast,Crystal Mountain,Washington,near Enumclaw,"46.935457448813246, -121.47477475938616"
West Coast,Echo Valley,Washington,Chelan,"47.93589385311034, -120.05538968819562"
West Coast,Hurricane Ridge,Washington,near Port Angeles,"47.97017134125096, -123.49510301517944"
West Coast,Leavenworth Ski Hill,Washington,Leavenworth,"47.61425682954771, -120.6686772728606"
West Coast,Loup Loup Ski Bowl,Washington,near Twisp,"48.39504516206938, -119.91092711101014"
West Coast,Meany Lodge,Washington,Stampede Pass (private),"47.280539100151984, -121.32024794588477"
West Coast,Mission Ridge,Washington,near Wenatchee,"47.29264760136882, -120.39991391704861"
West Coast,Mt. Baker,Washington,Glacier,"48.858397994664394, -121.6664974338441"
West Coast,Mount Spokane,Washington,near Spokane,"47.92197644886361, -117.09635016034551"
West Coast,Sahalie Ski Club,Washington,Snoqualmie Pass (private),"47.4309225780858, -121.41645280170137"
West Coast,Sitzmark Lifts,Washington,Tonasket,"48.86409802799545, -119.16506573049902"
West Coast,Ski Bluewood,Washington,near Dayton,"46.08409721153389, -117.85137936387046"
West Coast,Stevens Pass,Washington,Stevens Pass,"47.748093408048526, -121.08969965296401"
West Coast,The Summit at Snoqualmie - Alpental,Washington,Snoqualmie Pass,"47.44440221073134, -121.42582350355228"
West Coast,The Summit at Snoqualmie - Summit Central,Washington,Snoqualmie Pass,"47.410253997415595, -121.41340966045429"
West Coast,The Summit at Snoqualmie - Summit East,Washington,Snoqualmie Pass,"47.39028656523481, -121.39617345937427"
West Coast,The Summit at Snoqualmie - Summit West,Washington,Snoqualmie Pass,"47.425594622965384, -121.41652497992912"
West Coast,White Pass,Washington,White Pass,"46.63748567715211, -121.39137694590164"
